Original Word,Adjusted Word,Conclusion,Original Time Slice,Processed Time Slice
there,N/A,miss,"[0.66, 0.90]sec",N/A
once,N/A,miss,"[0.90, 1.41]sec",N/A
N/A,once,made up,N/A,"[0.96, 1.47]sec"
was,more,wrong,"[1.44, 1.68]sec","[1.44, 1.65]sec"
a,the,wrong,"[1.68, 1.80]sec","[1.68, 1.83]sec"
man,man,same,"[1.80, 2.22]sec","[1.80, 2.25]sec"
from,from,same,"[2.31, 2.61]sec","[2.31, 2.64]sec"
spain,stay,wrong,"[2.61, 3.18]sec","[2.61, 3.24]sec"
who,N/A,miss,"[3.57, 3.75]sec",N/A
N/A,who,made up,N/A,"[3.63, 3.81]sec"
liked,liked,same,"[3.75, 4.23]sec","[3.75, 4.26]sec"
to,N/A,miss,"[4.26, 4.47]sec",N/A
N/A,to,made up,N/A,"[4.29, 4.50]sec"
dance,dance,same,"[4.47, 4.95]sec","[4.47, 4.98]sec"
in,N/A,miss,"[5.01, 5.16]sec",N/A
N/A,in,made up,N/A,"[5.04, 5.19]sec"
the,the,same,"[5.16, 5.34]sec","[5.16, 1.83]sec"
rain,rain,same,"[5.34, 5.82]sec","[5.34, 5.85]sec"
when,when,same,"[6.69, 7.05]sec","[6.69, 7.08]sec"
offered,offered,same,"[7.11, 7.53]sec","[7.11, 7.56]sec"
an,an,same,"[7.71, 7.92]sec","[7.71, 7.92]sec"
umbrella,umbrella,same,"[7.92, 8.46]sec","[7.92, 8.46]sec"
he,N/A,miss,"[8.91, 9.13]sec",N/A
N/A,he,made up,N/A,"[8.97, 9.15]sec"
said,said,same,"[9.13, 9.54]sec","[9.13, 9.51]sec"
no,N/A,miss,"[9.96, 10.17]sec",N/A
way,nobody,wrong,"[10.17, 10.50]sec","[10.17, 10.53]sec"
fella,felt,close,"[10.50, 10.89]sec","[10.50, 10.89]sec"
and,N/A,miss,"[11.55, 11.70]sec",N/A
N/A,it,made up,N/A,"[11.58, 11.73]sec"
was,was,same,"[11.70, 1.68]sec","[11.70, 11.94]sec"
then,being,wrong,"[11.94, 12.24]sec","[11.94, 12.27]sec"
washed,was,close,"[12.60, 12.87]sec","[12.60, 11.94]sec"
down,N/A,miss,"[12.87, 13.29]sec",N/A
drain,betraying,close,"[13.71, 14.25]sec","[13.71, 14.28]sec"

Total Scores,,,,
Same,12,,,
Close,3,,,
Wrong,5,,,
Made-up,6,,,
Miss,9,,,
