Original Word,Adjusted Word,Conclusion,Original Time Slice,Processed Time Slice
there,N/A,miss,"[0.66, 0.90]sec",N/A
once,once,same,"[0.90, 1.41]sec","[0.90, 1.47]sec"
was,more,wrong,"[1.44, 1.68]sec","[1.44, 1.63]sec"
a,the,wrong,"[1.68, 1.80]sec","[1.68, 1.80]sec"
man,man,same,"[1.80, 2.22]sec","[1.80, 2.25]sec"
from,from,same,"[2.31, 2.61]sec","[2.31, 2.62]sec"
spain,day,wrong,"[2.61, 3.18]sec","[2.61, 3.24]sec"
who,he,wrong,"[3.57, 3.75]sec","[3.57, 3.78]sec"
liked,liked,same,"[3.75, 4.23]sec","[3.75, 4.26]sec"
to,to,same,"[4.26, 4.47]sec","[4.26, 4.50]sec"
dance,dance,same,"[4.47, 4.95]sec","[4.47, 4.98]sec"
in,in,same,"[5.01, 5.16]sec","[5.01, 5.19]sec"
the,the,same,"[5.16, 5.34]sec","[5.16, 1.80]sec"
rain,rain,same,"[5.34, 5.82]sec","[5.34, 5.85]sec"
when,when,same,"[6.69, 7.05]sec","[6.69, 7.08]sec"
offered,offered,same,"[7.11, 7.53]sec","[7.11, 7.56]sec"
an,an,same,"[7.71, 7.92]sec","[7.71, 7.92]sec"
umbrella,umbrella,same,"[7.92, 8.46]sec","[7.92, 8.46]sec"
he,he,same,"[8.91, 9.13]sec","[8.91, 3.78]sec"
said,said,same,"[9.13, 9.54]sec","[9.13, 9.51]sec"
no,nobody,wrong,"[9.96, 10.17]sec","[9.96, 10.53]sec"
way,N/A,miss,"[10.17, 10.50]sec",N/A
fella,felt,close,"[10.50, 10.89]sec","[10.50, 10.89]sec"
and,it,wrong,"[11.55, 11.70]sec","[11.55, 11.73]sec"
was,was,same,"[11.70, 1.68]sec","[11.70, 11.94]sec"
then,being,wrong,"[11.94, 12.24]sec","[11.94, 12.27]sec"
washed,was,close,"[12.60, 12.87]sec","[12.60, 11.94]sec"
down,N/A,miss,"[12.87, 13.29]sec",N/A
drain,betraying,close,"[13.71, 14.25]sec","[13.71, 14.28]sec"

Total Scores,,,,
Same,16,,,
Close,3,,,
Wrong,7,,,
Made-up,0,,,
Miss,3,,,
